Fid,Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Type,Traffic_Type,Alerts_Warnings,AttackType,Action_Taken,Severity_Level,Device_Information,Network_Segment,Geolocation_Data,ProxyInformation,FirewallLogs,IDS_IPS_Alerts,Log_Source
10.42.0.1-10.42.0.42-53-36982-17,15-05-23 4:46,180.10.46.52,101.253.51.247,37911,33282,ICMP,564,Control,DNS,Alert Triggered,1,Ignored,Medium,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4 rv:6.0; af-ZA) AppleWebKit/532.47.4 (KHTML, like Gecko) Version/4.1 Safari/532.47.4",Segment B,"Ajmer, Tamil Nadu",35.15.59.171,Log Data,Alert Data,Firewall
10.42.0.211-123.125.29.220-58310-80-6,15-01-21 11:50,38.217.47.135,63.76.4.211,19904,35008,TCP,551,Control,HTTP,Alert Triggered,1,Ignored,Low,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/6568-07-29 06:09:41 Firefox/10.0,Segment C,"Tiruvottiyur, Odisha",112.193.143.17,Log Data,Unknown,Server
10.42.0.211-10.42.0.1-6837-53-17,28-07-21 14:12,170.55.158.205,77.92.190.220,60229,14770,TCP,137,Control,FTP,Alert Triggered,0,Ignored,Low,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/533.10.6 (KHTML, like Gecko) Version/4.0 Safari/533.10.6",Segment C,"Nandyal, Maharashtra",61.234.98.10,Log Data,Alert Data,Server
172.217.12.142-10.42.0.151-443-48926-6,02-06-20 7:35,91.65.171.104,134.130.33.222,31393,32344,UDP,882,Control,DNS,Alert Triggered,0,Logged,Low,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_3) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/58.0.806.0 Safari/535.1",Segment B,"Tiruppur, Gujarat",44.202.131.46,Unknown,Unknown,Firewall
10.42.0.211-10.42.0.1-42504-53-17,10-10-21 7:10,208.35.199.147,10.161.255.177,58593,54118,TCP,1430,Control,DNS,Alert Triggered,0,Ignored,High,Mozilla/5.0 (Android 4.1.1; Mobile; rv:47.0) Gecko/47.0 Firefox/47.0,Segment C,"Bellary, Uttarakhand",Unknown,Log Data,Unknown,Firewall
10.42.0.42-95.213.11.181-58669-80-6,20-08-20 23:34,202.175.253.64,89.1.225.174,40711,19367,UDP,1048,Data,HTTP,Alert Triggered,0,Blocked,Medium,Opera/9.12.(Windows NT 4.0; bo-IN) Presto/2.9.176 Version/10.00,Segment B,"New Delhi, Gujarat",Unknown,Log Data,Alert Data,Server
172.217.6.195-10.42.0.42-443-38494-6,08-05-21 13:06,158.125.87.214,98.94.24.70,14116,52340,UDP,1087,Data,HTTP,Alert Triggered,0,Blocked,High,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_9 rv:4.0; mai-IN) AppleWebKit/535.6.5 (KHTML, like Gecko) Version/5.0 Safari/535.6.5",Segment C,"Mau, Chhattisgarh",Unknown,Log Data,Unknown,Firewall
10.42.0.211-106.11.129.143-45319-80-6,09-08-20 3:30,50.51.156.197,220.130.134.160,30065,39140,TCP,1498,Control,DNS,Alert Triggered,0,Blocked,Medium,"Mozilla/5.0 (Linux; Android 1.6) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/14.0.870.0 Safari/536.2",Segment B,"Kalyan-Dombivli, Nagaland",77.107.222.135,Log Data,Alert Data,Firewall
192.229.173.173-10.42.0.211-80-55617-6,21-06-20 19:49,68.197.101.120,65.3.71.37,41064,35672,ICMP,1433,Data,HTTP,Unknown,0,Ignored,Low,Opera/9.21.(Windows 95; mt-MT) Presto/2.9.169 Version/10.00,Segment A,"Mathura, Himachal Pradesh",Unknown,Unknown,Alert Data,Firewall
10.42.0.211-10.42.0.1-45323-53-17,26-09-21 18:10,144.189.118.129,152.175.134.12,44369,21153,ICMP,1257,Control,DNS,Unknown,0,Ignored,Low,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/535.17.5 (KHTML, like Gecko) Version/4.0.3 Safari/535.17.5",Segment A,"Mau, Bihar",Unknown,Unknown,Unknown,Server
180.149.136.194-10.42.0.151-80-56038-6,23-09-22 19:02,46.33.68.2,12.31.215.119,56030,10830,ICMP,255,Data,HTTP,Alert Triggered,0,Logged,Medium,Opera/9.47.(Windows NT 5.01; tl-PH) Presto/2.9.177 Version/12.00,Segment C,"Hazaribagh, Telangana",141.129.195.223,Log Data,Unknown,Server
172.217.10.33-10.42.0.211-443-43290-6,06-10-22 14:37,209.38.96.2,68.6.216.125,10660,51997,TCP,1166,Data,HTTP,Alert Triggered,1,Logged,Medium,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/53.0.846.0 Safari/531.1",Segment C,"Miryalaguda, Haryana",Unknown,Log Data,Alert Data,Server
10.42.0.211-106.39.169.66-51900-80-6,12-09-22 21:22,173.144.152.207,11.197.84.123,63705,31465,UDP,1411,Data,FTP,Alert Triggered,0,Ignored,Low,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; si-LK) AppleWebKit/535.40.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6535.40.1",Segment C,"Baranagar, Odisha",20.174.48.227,Log Data,Unknown,Server
203.205.147.229-10.42.0.42-80-53185-6,12-01-23 21:03,148.49.111.173,155.82.116.2,49942,47632,TCP,1374,Data,HTTP,Alert Triggered,0,Logged,High,Opera/9.30.(X11; Linux x86_64; gv-GB) Presto/2.9.168 Version/11.00,Segment C,"Patiala, Arunachal Pradesh",Unknown,Log Data,Alert Data,Server
172.217.10.110-10.42.0.151-443-46573-6,17-02-20 18:16,118.36.177.171,126.140.222.3,13004,31905,ICMP,536,Data,FTP,Alert Triggered,1,Blocked,Low,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/32.0.828.0 Safari/535.0",Segment C,"Avadi, Goa",78.105.128.230,Log Data,Unknown,Firewall
172.217.11.34-10.42.0.42-443-36625-6,23-07-22 21:47,45.218.243.92,165.24.100.72,14825,3598,TCP,673,Control,DNS,Alert Triggered,0,Ignored,High,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/43.0.883.0 Safari/531.1",Segment C,"Kanpur, Telangana",Unknown,Unknown,Unknown,Firewall
10.42.0.151-54.192.38.7-43592-443-6,01-02-22 3:49,51.72.115.241,129.11.196.159,16500,46844,ICMP,305,Control,HTTP,Alert Triggered,0,Logged,Low,Opera/8.66.(X11; Linux x86_64; sk-SK) Presto/2.9.175 Version/12.00,Segment A,"Berhampore, Himachal Pradesh",154.32.43.50,Unknown,Unknown,Firewall
10.42.0.211-10.42.0.1-29920-53-17,23-05-22 5:05,39.11.222.131,37.100.109.254,61664,65330,TCP,173,Data,HTTP,Unknown,0,Ignored,High,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.1),Segment B,"Vijayanagaram, Tamil Nadu",59.65.244.59,Log Data,Alert Data,Server
10.42.0.211-10.42.0.1-36453-53-17,28-08-22 9:07,68.95.27.216,144.99.35.6,7549,52231,TCP,1466,Control,HTTP,Alert Triggered,0,Ignored,Medium,Opera/9.24.(X11; Linux x86_64; vi-VN) Presto/2.9.183 Version/11.00,Segment C,"Hapur, Rajasthan",Unknown,Unknown,Unknown,Server
239.255.255.250-10.42.0.1-1900-58754-17,30-04-22 15:38,134.193.92.115,147.219.210.153,48352,3006,ICMP,1110,Control,FTP,Alert Triggered,0,Logged,Low,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/20.0.818.0 Safari/531.2",Segment A,"Hapur, Manipur",56.75.47.204,Unknown,Unknown,Firewall
10.42.0.211-10.42.0.1-1924-53-17,01-03-20 20:47,63.237.163.51,48.218.149.155,28026,51830,TCP,659,Control,DNS,Alert Triggered,0,Logged,High,Mozilla/5.0 (Windows NT 4.0; et-EE; rv:1.9.2.20) Gecko/3948-03-24 10:01:13 Firefox/7.0,Segment C,"Barasat, Gujarat",Unknown,Unknown,Alert Data,Server
172.217.10.106-10.42.0.151-443-50676-6,25-04-23 15:42,78.91.31.71,74.27.3.96,9790,5382,UDP,1120,Control,FTP,Alert Triggered,0,Ignored,Medium,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/532.35.7 (KHTML, like Gecko) Version/4.0 Safari/532.35.7",Segment C,"Raurkela Industrial Township, Jharkhand",Unknown,Log Data,Unknown,Firewall
10.42.0.211-88.212.201.205-45137-443-6,20-08-20 11:39,37.33.127.81,87.52.50.232,60199,2183,ICMP,951,Control,DNS,Unknown,1,Logged,Medium,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/533.26.2 (KHTML, like Gecko) Version/4.1 Safari/533.26.2",Segment B,"Karaikudi, Jharkhand",Unknown,Log Data,Unknown,Server
216.58.217.100-10.42.0.211-443-57551-6,20-04-21 9:14,145.207.114.103,167.238.100.49,21450,26261,TCP,958,Data,DNS,Alert Triggered,0,Logged,Medium,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.1),Segment A,"Alappuzha, Uttarakhand",71.148.230.157,Unknown,Unknown,Server
10.42.0.42-31.13.80.5-45259-443-6,09-05-23 22:57,87.178.198.3,189.44.106.246,35701,2103,TCP,259,Data,FTP,Alert Triggered,0,Ignored,High,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/531.30.5 (KHTML, like Gecko) Version/4.0.3 Safari/531.30.5",Segment C,"Sri Ganganagar, Maharashtra",23.249.158.176,Unknown,Unknown,Server
206.126.112.142-10.42.0.151-443-54566-6,13-07-22 18:52,45.217.250.198,82.117.38.69,18102,19486,ICMP,806,Data,FTP,Unknown,0,Blocked,High,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_5 rv:2.0; sk-SK) AppleWebKit/535.28.7 (KHTML, like Gecko) Version/4.1 Safari/535.28.7",Segment C,"Agartala, Bihar",215.206.137.129,Log Data,Alert Data,Server
10.42.0.151-112.90.74.178-48703-80-6,18-06-23 14:56,112.141.191.75,135.164.20.3,54692,31581,ICMP,460,Data,FTP,Alert Triggered,0,Ignored,Medium,Mozilla/5.0 (Android 2.2.1; Mobile; rv:9.0) Gecko/9.0 Firefox/9.0,Segment C,"Tumkur, Punjab",16.234.205.242,Log Data,Unknown,Server
222.73.28.96-10.42.0.211-80-60584-6,15-01-21 21:59,111.156.203.147,125.216.112.143,58821,49887,UDP,1084,Control,DNS,Unknown,0,Ignored,Low,Opera/9.87.(X11; Linux x86_64; os-RU) Presto/2.9.173 Version/12.00,Segment A,"South Dumdum, Karnataka",40.52.69.213,Log Data,Alert Data,Server
10.42.0.211-112.80.248.187-57641-80-6,01-07-23 18:11,129.240.149.117,202.98.134.219,28372,12236,ICMP,305,Data,HTTP,Alert Triggered,0,Logged,High,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/18.0.866.0 Mobile/33T694 Safari/535.2",Segment C,"Farrukhabad, Tamil Nadu",210.222.51.231,Log Data,Alert Data,Server
10.42.0.211-115.239.210.141-43627-80-6,30-08-20 14:33,9.211.83.192,171.96.63.96,36729,40239,TCP,1206,Data,FTP,Unknown,0,Ignored,Low,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/22.0.894.0 Safari/534.1",Segment A,"Barasat, Arunachal Pradesh",75.255.37.177,Log Data,Alert Data,Server
239.255.255.250-10.42.0.1-1900-42357-17,03-12-20 16:32,207.14.242.47,161.140.21.19,13446,49914,ICMP,774,Control,FTP,Alert Triggered,0,Ignored,High,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.0),Segment B,"Bhiwandi, Madhya Pradesh",2.139.99.214,Unknown,Alert Data,Firewall
8.41.222.241-10.42.0.151-443-37205-6,14-02-22 14:05,209.119.212.172,176.218.234.220,64900,29473,ICMP,1350,Control,FTP,Unknown,1,Logged,Medium,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/533.4.5 (KHTML, like Gecko) Version/5.0 Safari/533.4.5",Segment C,"Deoghar, Kerala",207.214.245.7,Log Data,Alert Data,Firewall
10.42.0.42-123.125.125.56-36800-443-6,09-06-21 0:04,196.6.102.17,210.196.41.27,53001,38506,TCP,88,Data,HTTP,Alert Triggered,0,Ignored,Low,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/24.0.814.0 Safari/532.0",Segment B,"Rampur, West Bengal",Unknown,Log Data,Alert Data,Server
10.42.0.211-10.42.0.1-8470-53-17,01-01-21 10:22,163.32.5.104,74.206.100.114,47230,42192,ICMP,1013,Data,FTP,Unknown,0,Logged,High,Opera/8.94.(X11; Linux i686; ks-IN) Presto/2.9.174 Version/11.00,Segment A,"Aurangabad, Himachal Pradesh",52.239.202.25,Unknown,Unknown,Server
10.42.0.211-66.231.239.124-56935-443-6,29-11-20 10:36,34.63.229.79,82.197.242.255,21746,57996,ICMP,1240,Control,HTTP,Unknown,0,Ignored,Medium,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.0),Segment A,"Kollam, Assam",143.24.56.206,Log Data,Alert Data,Server
10.42.0.211-52.94.232.195-41956-443-6,04-03-20 11:53,106.23.127.6,98.248.180.173,40240,7457,TCP,1495,Data,DNS,Alert Triggered,0,Logged,Medium,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/14.0.857.0 Safari/531.2",Segment A,"South Dumdum, Jharkhand",148.150.140.118,Log Data,Unknown,Firewall
10.42.0.211-66.231.239.122-60695-80-6,25-11-22 13:20,139.206.167.46,4.221.232.79,1076,16353,TCP,525,Control,FTP,Alert Triggered,0,Logged,Low,Opera/9.40.(Windows NT 4.0; zu-ZA) Presto/2.9.181 Version/10.00,Segment C,"Giridih, Manipur",Unknown,Unknown,Alert Data,Firewall
10.42.0.1-10.42.0.42-53-1978-17,25-08-23 5:44,208.11.119.24,198.244.209.213,45682,40707,TCP,1015,Data,DNS,Unknown,1,Blocked,High,Mozilla/5.0 (Windows NT 10.0; ms-MY; rv:1.9.0.20) Gecko/6420-05-14 14:10:20 Firefox/3.6.20,Segment B,"Nangloi Jat, Arunachal Pradesh",Unknown,Log Data,Alert Data,Server
10.42.0.1-10.42.0.42-53-39461-17,21-02-20 14:49,97.159.214.47,124.250.131.255,4732,12135,ICMP,65,Data,HTTP,Alert Triggered,0,Ignored,High,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.1),Segment C,"Meerut, Telangana",37.185.243.146,Log Data,Alert Data,Firewall
10.42.0.42-23.194.181.192-41150-443-6,18-07-22 1:36,130.248.13.201,137.46.232.113,7466,53950,TCP,908,Data,HTTP,Alert Triggered,0,Blocked,Low,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/534.48.1 (KHTML, like Gecko) Version/5.1 Safari/534.48.1",Segment C,"Bijapur, Tamil Nadu",152.152.217.226,Log Data,Alert Data,Firewall
10.42.0.151-10.42.0.1-37710-53-17,16-12-20 17:55,97.172.214.75,101.133.67.255,65492,19306,ICMP,660,Control,DNS,Unknown,0,Ignored,Low,Mozilla/5.0 (Android 4.4.4; Mobile; rv:50.0) Gecko/50.0 Firefox/50.0,Segment A,"Ghaziabad, Goa",215.65.22.217,Unknown,Alert Data,Server
10.42.0.211-123.125.115.164-54411-443-6,19-02-23 4:05,49.179.189.245,85.95.108.126,9555,29228,TCP,1483,Data,DNS,Alert Triggered,0,Blocked,High,Opera/9.60.(X11; Linux x86_64; et-EE) Presto/2.9.173 Version/12.00,Segment A,"Ghaziabad, Odisha",Unknown,Log Data,Alert Data,Firewall
157.240.18.10-10.42.0.151-443-34267-6,18-06-20 11:37,221.33.251.4,134.188.119.66,59939,3448,UDP,1136,Data,DNS,Unknown,0,Ignored,Low,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.1),Segment A,"Vijayanagaram, Manipur",Unknown,Unknown,Alert Data,Server
10.42.0.151-52.216.1.211-59561-443-6,04-07-23 21:15,52.48.66.153,71.223.131.194,2083,45315,UDP,743,Data,FTP,Unknown,0,Ignored,Low,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.11.1 (KHTML, like Gecko) Version/4.0.1 Safari/531.11.1",Segment C,"Rewa, Andhra Pradesh",126.216.30.72,Log Data,Alert Data,Server
10.42.0.211-10.42.0.1-37651-53-17,09-10-23 15:21,30.15.140.202,96.160.27.10,53967,15016,ICMP,592,Data,HTTP,Alert Triggered,0,Blocked,Medium,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/27.0.894.0 Safari/535.1",Segment A,"Durgapur, Assam",Unknown,Unknown,Alert Data,Firewall
10.42.0.211-106.39.169.66-46235-80-6,05-12-20 17:48,121.99.186.139,159.95.76.74,17690,30298,TCP,640,Control,FTP,Unknown,0,Blocked,Medium,Opera/9.45.(X11; Linux i686; ast-ES) Presto/2.9.188 Version/10.00,Segment B,"Bulandshahr, Himachal Pradesh",Unknown,Log Data,Alert Data,Server
10.42.0.211-10.42.0.1-29212-53-17,25-10-20 3:17,148.142.32.217,59.23.190.16,23167,13314,TCP,259,Control,HTTP,Alert Triggered,0,Logged,High,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/28.0.862.0 Safari/532.0",Segment B,"Agartala, Arunachal Pradesh",73.87.217.152,Log Data,Alert Data,Firewall
10.42.0.151-123.125.115.190-60291-80-6,28-01-23 4:56,192.109.40.175,221.175.65.178,29063,5944,TCP,396,Data,DNS,Unknown,0,Logged,Medium,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/5.0),Segment C,"Bhimavaram, Andhra Pradesh",132.145.134.22,Unknown,Unknown,Firewall
172.217.20.99-10.42.0.151-443-53908-6,28-04-21 11:23,109.6.255.95,104.107.209.180,30702,29404,ICMP,834,Control,DNS,Unknown,1,Ignored,High,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/3.1),Segment A,"Fatehpur, Haryana",Unknown,Unknown,Unknown,Firewall
10.42.0.211-77.234.44.79-35097-443-6,12-04-22 3:02,6.60.210.151,153.201.154.242,37884,45738,TCP,344,Control,HTTP,Unknown,0,Logged,Medium,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_6 rv:6.0; eu-ES) AppleWebKit/535.32.4 (KHTML, like Gecko) Version/5.1 Safari/535.32.4",Segment A,"Mango, Karnataka",182.74.188.212,Log Data,Alert Data,Server
10.42.0.211-77.234.44.43-49625-80-6,26-03-20 9:30,198.253.22.67,207.158.132.210,13652,29713,TCP,695,Control,FTP,Unknown,0,Logged,High,Mozilla/5.0 (Windows NT 5.01; tl-PH; rv:1.9.0.20) Gecko/3559-04-14 13:07:03 Firefox/3.8,Segment A,"Guwahati, West Bengal",Unknown,Unknown,Alert Data,Firewall
162.208.22.39-10.42.0.42-443-43536-6,02-06-23 0:46,106.235.103.249,201.41.105.157,1547,63803,UDP,1369,Control,DNS,Unknown,0,Ignored,Low,Opera/8.14.(X11; Linux x86_64; os-RU) Presto/2.9.170 Version/12.00,Segment B,"Hosur, Madhya Pradesh",186.72.179.65,Log Data,Unknown,Server
10.42.0.151-10.42.0.1-33518-53-17,27-06-20 6:09,71.73.149.129,203.200.19.48,22435,60551,ICMP,1100,Data,HTTP,Alert Triggered,0,Blocked,High,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/4770-02-04 18:37:58 Firefox/12.0,Segment B,"Thane, Nagaland",142.10.76.63,Log Data,Unknown,Firewall
182.22.24.124-10.42.0.211-443-41787-6,06-09-23 20:36,51.19.234.23,151.105.2.80,64772,59064,UDP,800,Data,HTTP,Alert Triggered,0,Logged,High,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2359-12-12 13:31:59 Firefox/8.0,Segment B,"Kharagpur, Jharkhand",Unknown,Unknown,Alert Data,Firewall
151.101.1.140-10.42.0.151-443-40592-6,03-02-22 13:57,219.87.6.173,93.48.216.41,35819,31666,UDP,612,Control,FTP,Unknown,0,Blocked,Medium,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/10.5c2046.0 Mobile/67F759 Safari/531.2",Segment B,"Gandhidham, Kerala",Unknown,Unknown,Alert Data,Server
172.217.7.3-10.42.0.42-443-54829-6,26-01-21 18:49,105.111.113.237,105.175.54.141,42365,21687,ICMP,1271,Data,FTP,Unknown,0,Blocked,High,Opera/8.32.(Windows NT 4.0; fa-IR) Presto/2.9.172 Version/11.00,Segment C,"Visakhapatnam, Nagaland",33.181.120.60,Log Data,Alert Data,Server
10.42.0.151-104.244.43.195-52420-443-6,04-08-22 7:57,173.162.197.81,37.118.14.187,12754,1408,UDP,789,Data,FTP,Alert Triggered,0,Blocked,Medium,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/3.0),Segment A,"Bhopal, Punjab",Unknown,Log Data,Alert Data,Server
192.229.163.180-10.42.0.211-443-50432-6,12-08-22 21:55,121.93.126.30,132.166.3.127,32024,12628,TCP,689,Control,FTP,Unknown,0,Blocked,Medium,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.1),Segment B,"Asansol, Goa",85.220.213.171,Unknown,Unknown,Firewall
10.42.0.211-101.37.105.10-48779-6880-6,14-01-21 11:33,193.116.15.2,150.233.128.9,61379,38136,ICMP,1083,Control,FTP,Unknown,0,Logged,Medium,Opera/9.44.(X11; Linux x86_64; ur-PK) Presto/2.9.188 Version/10.00,Segment A,"Satna, Karnataka",Unknown,Unknown,Unknown,Firewall
10.42.0.211-23.206.166.62-51905-80-6,14-05-21 9:54,167.186.127.180,85.47.26.18,55031,56261,UDP,480,Control,FTP,Alert Triggered,0,Logged,Low,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/14.0.824.0 Safari/531.2",Segment C,"Salem, Mizoram",Unknown,Log Data,Unknown,Server
10.42.0.211-10.42.0.1-15984-53-17,16-12-20 9:29,167.172.170.232,14.225.3.146,19759,22261,ICMP,909,Data,FTP,Alert Triggered,0,Ignored,High,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0),Segment A,"Kozhikode, Kerala",Unknown,Unknown,Alert Data,Server
10.42.0.211-68.67.178.252-56998-443-6,04-03-20 10:32,190.235.125.177,160.107.234.234,32685,22293,TCP,265,Data,FTP,Alert Triggered,0,Blocked,Low,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_0; rv:1.9.5.20) Gecko/2812-11-03 11:38:50 Firefox/14.0,Segment B,"Ramagundam, Karnataka",66.60.159.14,Log Data,Unknown,Firewall
